a, b, c, d, e, f, g, h, i, Determinant
5, 8, 2, 2, 4, 4, 1, 9, 2, -112
8, 6, 8, 4, 3, 7, 6, 2, 2, 60
4, 8, 3, 2, 8, 4, 7, 4, 6, 112
10, 6, 1, 8, 7, 6, 1, 7, 3, -269
6, 6, 7, 8, 1, 10, 3, 7, 1, 89
3, 3, 9, 2, 3, 6, 9, 1, 2, -75
10, 7, 10, 2, 3, 4, 7, 2, 5, 26
5, 6, 2, 2, 2, 3, 8, 1, 2, 97
6, 7, 5, 7, 9, 10, 6, 8, 3, -35
6, 9, 4, 8, 10, 10, 7, 10, 2, 46
8, 7, 3, 7, 8, 3, 5, 5, 7, 75
9, 10, 3, 9, 9, 8, 4, 1, 6, 113
10, 2, 8, 9, 5, 5, 1, 6, 10, 422
2, 10, 3, 2, 8, 4, 10, 2, 2, 148
7, 5, 8, 7, 6, 6, 4, 6, 1, 19
1, 8, 8, 9, 10, 5, 9, 8, 2, 52
3, 9, 10, 4, 6, 7, 8, 7, 1, 139
1, 7, 2, 7, 6, 8, 10, 1, 7, 145
9, 7, 8, 5, 3, 6, 5, 8, 10, -102
7, 6, 6, 10, 10, 4, 9, 9, 8, 44
2, 10, 2, 9, 10, 8, 2, 3, 3, -84
2, 7, 6, 9, 9, 1, 4, 10, 9, -73
10, 10, 7, 10, 6, 4, 8, 6, 6, -76
7, 1, 7, 6, 8, 7, 7, 2, 3, -207
6, 3, 7, 7, 10, 6, 8, 9, 10, 91
6, 8, 7, 9, 2, 2, 4, 1, 6, -301
4, 1, 1, 2, 4, 5, 9, 2, 2, 1
8, 10, 5, 7, 6, 6, 4, 5, 2, 11
4, 5, 5, 8, 1, 4, 8, 4, 9, -108
3, 6, 7, 7, 1, 4, 4, 3, 1, 140
9, 3, 8, 9, 8, 2, 3, 4, 3, 177
7, 7, 8, 4, 9, 10, 7, 4, 1, -131
9, 10, 5, 6, 1, 5, 7, 2, 7, -72
4, 8, 6, 9, 1, 3, 3, 5, 7, -212
6, 9, 3, 9, 2, 10, 4, 6, 10, -552
10, 10, 1, 1, 8, 1, 1, 5, 8, 517
7, 4, 1, 5, 8, 7, 2, 10, 2, -328
8, 1, 10, 5, 2, 4, 6, 4, 1, -13
8, 7, 8, 3, 1, 9, 7, 8, 9, -116
6, 4, 9, 8, 5, 2, 3, 8, 4, 361
5, 9, 8, 2, 10, 3, 1, 6, 3, 49
10, 3, 7, 9, 2, 3, 2, 1, 5, -12
2, 3, 1, 1, 10, 7, 9, 7, 4, 76
1, 9, 1, 1, 4, 8, 6, 5, 8, 333
1, 7, 2, 9, 1, 6, 2, 4, 8, -368
3, 2, 6, 6, 7, 3, 9, 4, 8, -144
4, 9, 4, 1, 4, 9, 4, 4, 5, 167
1, 1, 1, 9, 9, 2, 10, 10, 10, 0
7, 7, 5, 10, 8, 5, 6, 6, 10, -80
6, 9, 7, 4, 9, 7, 1, 8, 6, -4
2, 1, 2, 9, 4, 5, 3, 7, 3, 44
5, 1, 7, 5, 9, 9, 6, 5, 7, -94
2, 8, 9, 2, 2, 8, 2, 3, 7, 14
6, 1, 5, 3, 7, 1, 3, 9, 1, 18
5, 1, 7, 2, 5, 8, 3, 1, 1, -84
6, 1, 5, 8, 9, 1, 10, 2, 2, -280
3, 6, 5, 6, 6, 3, 8, 10, 1, 96
8, 2, 10, 2, 6, 8, 5, 3, 5, -132
2, 8, 1, 4, 8, 10, 10, 2, 10, 528
9, 10, 6, 3, 8, 8, 6, 4, 4, 144
2, 2, 8, 8, 1, 8, 5, 2, 3, 94
8, 1, 10, 4, 9, 4, 4, 10, 5, 76
1, 4, 8, 6, 1, 3, 6, 7, 4, 247
8, 10, 5, 9, 9, 5, 10, 8, 1, 72
2, 6, 10, 9, 5, 10, 6, 4, 2, 252
9, 3, 1, 1, 5, 10, 8, 10, 2, -606
1, 1, 2, 4, 9, 3, 3, 10, 3, 20
7, 6, 2, 2, 10, 2, 10, 6, 5, 150
9, 9, 9, 9, 1, 7, 10, 3, 5, 234
4, 8, 6, 8, 1, 2, 2, 8, 8, -140
4, 2, 4, 9, 7, 9, 9, 5, 9, 0
5, 7, 1, 6, 1, 6, 8, 10, 2, 14
9, 5, 9, 6, 7, 8, 5, 10, 6, -97
6, 9, 8, 5, 1, 3, 7, 5, 6, 9
9, 5, 10, 9, 9, 9, 6, 4, 8, 54
2, 7, 4, 9, 9, 9, 8, 5, 8, -54
3, 10, 6, 10, 9, 1, 2, 6, 8, -330
1, 7, 10, 5, 6, 4, 7, 7, 5, -47
3, 8, 1, 5, 1, 6, 2, 7, 4, -145
7, 3, 5, 10, 8, 2, 3, 1, 1, -40
4, 6, 2, 10, 8, 7, 2, 10, 2, -84
7, 2, 9, 2, 9, 3, 10, 7, 7, -358
9, 1, 6, 1, 4, 2, 6, 8, 9, 87
3, 3, 8, 1, 2, 1, 4, 6, 8, 2
2, 10, 1, 3, 4, 9, 9, 9, 6, 507
7, 2, 10, 7, 10, 4, 7, 9, 1, -210
5, 10, 8, 10, 2, 2, 1, 8, 6, 24
1, 6, 8, 2, 3, 3, 8, 5, 5, -28
5, 8, 9, 4, 7, 3, 6, 2, 4, -180
3, 4, 9, 5, 10, 1, 8, 2, 6, -544
5, 4, 5, 3, 1, 8, 8, 4, 4, 88
3, 8, 4, 10, 5, 2, 7, 4, 9, -477
3, 6, 2, 8, 9, 9, 3, 10, 1, -23
2, 2, 6, 7, 10, 6, 8, 8, 7, -102
2, 1, 3, 3, 10, 5, 5, 5, 2, -96
1, 1, 9, 10, 3, 10, 6, 10, 3, 677
1, 6, 3, 9, 10, 10, 4, 10, 10, -150
1, 5, 3, 3, 3, 8, 9, 4, 8, 187
2, 7, 7, 7, 7, 6, 2, 4, 1, 99
10, 7, 1, 9, 3, 1, 3, 2, 5, -155
7, 5, 3, 9, 2, 4, 7, 10, 6, -98
10, 1, 9, 6, 3, 9, 3, 2, 1, -102
5, 8, 9, 6, 5, 10, 7, 4, 9, 54
2, 8, 8, 10, 7, 3, 1, 3, 1, 124
8, 3, 2, 8, 8, 10, 8, 7, 2, -256
8, 10, 4, 4, 6, 5, 5, 3, 7, 114
1, 6, 3, 6, 8, 3, 10, 4, 6, -168
6, 10, 6, 7, 6, 5, 9, 5, 9, -120
9, 4, 8, 7, 3, 4, 7, 6, 8, 56
2, 1, 4, 9, 5, 1, 4, 2, 9, 1
4, 2, 10, 8, 8, 3, 8, 3, 1, -372
1, 7, 2, 2, 1, 10, 3, 4, 3, 141
3, 5, 7, 9, 5, 3, 4, 9, 8, 166
3, 6, 6, 6, 10, 1, 4, 9, 10, 21
6, 9, 8, 6, 1, 6, 9, 1, 4, 234
8, 5, 9, 9, 5, 9, 7, 4, 10, -14
9, 10, 2, 6, 7, 6, 9, 5, 1, 207
4, 2, 9, 8, 7, 8, 4, 6, 5, 112
7, 2, 5, 7, 7, 7, 3, 1, 3, 28
4, 3, 2, 10, 1, 6, 9, 10, 6, -52
10, 7, 7, 5, 4, 5, 10, 7, 10, 15
10, 2, 2, 5, 6, 7, 9, 5, 8, 118
5, 5, 1, 10, 1, 9, 10, 7, 3, 60
4, 9, 6, 6, 7, 5, 5, 5, 9, -139
1, 5, 3, 9, 2, 1, 8, 10, 6, -6
8, 3, 5, 4, 1, 9, 10, 1, 6, 144
5, 6, 4, 2, 10, 8, 8, 7, 3, -46
3, 5, 6, 5, 5, 3, 3, 6, 1, 71
3, 9, 2, 8, 10, 7, 9, 3, 9, -6
6, 5, 8, 8, 7, 3, 3, 2, 6, -19
5, 5, 10, 9, 7, 3, 10, 4, 2, -270
5, 5, 7, 1, 8, 5, 3, 7, 2, -149
6, 10, 9, 3, 2, 10, 4, 7, 8, -47
8, 9, 7, 7, 6, 1, 10, 7, 2, -73
3, 9, 1, 5, 1, 8, 6, 7, 6, 41
2, 7, 5, 9, 7, 6, 8, 9, 7, 10
1, 8, 10, 4, 6, 4, 7, 6, 10, -240
7, 10, 1, 5, 7, 7, 10, 1, 8, 578
4, 4, 1, 1, 7, 7, 8, 10, 4, -6
7, 5, 2, 10, 6, 1, 9, 8, 10, -39
2, 8, 3, 4, 8, 5, 5, 2, 9, -60
3, 8, 2, 3, 10, 8, 3, 4, 6, 96
6, 10, 9, 5, 10, 3, 1, 2, 6, 54
1, 4, 3, 10, 9, 1, 4, 3, 6, -191
9, 10, 8, 8, 2, 6, 6, 3, 6, -78
2, 5, 10, 10, 2, 7, 3, 5, 2, 383
9, 1, 2, 2, 1, 9, 1, 10, 6, -721
3, 2, 5, 9, 6, 10, 6, 9, 7, 75
2, 5, 5, 8, 6, 2, 7, 10, 1, 192
4, 1, 4, 1, 3, 3, 5, 9, 8, -29
7, 5, 9, 8, 2, 10, 4, 2, 7, -50
1, 7, 5, 3, 6, 1, 9, 5, 7, -242
6, 4, 10, 3, 10, 5, 2, 10, 6, 128
5, 6, 8, 1, 2, 8, 8, 1, 1, 228
10, 2, 10, 9, 4, 7, 4, 5, 9, 194
1, 2, 2, 8, 7, 8, 9, 9, 5, 45
1, 10, 3, 3, 1, 9, 2, 6, 7, -29
2, 10, 9, 2, 1, 1, 4, 6, 5, 10
6, 8, 6, 9, 9, 10, 7, 9, 8, -16
8, 9, 6, 2, 2, 7, 5, 7, 9, -71
3, 3, 7, 3, 6, 10, 9, 9, 1, -180
9, 9, 1, 7, 2, 7, 5, 6, 8, -391
8, 10, 1, 1, 3, 6, 5, 6, 4, 59
2, 5, 6, 4, 3, 2, 8, 2, 6, -108
2, 4, 6, 7, 1, 6, 10, 9, 2, 398
3, 7, 10, 6, 9, 6, 1, 7, 8, 126
6, 2, 1, 3, 4, 4, 7, 3, 2, 1
1, 9, 5, 3, 7, 9, 4, 9, 3, 178
4, 3, 7, 4, 6, 1, 8, 1, 6, -216
10, 9, 9, 10, 9, 7, 4, 4, 1, 8
6, 7, 6, 6, 6, 4, 7, 7, 5, -2
6, 8, 9, 10, 3, 5, 6, 10, 1, 616
3, 10, 8, 1, 9, 4, 7, 4, 7, -121
5, 6, 4, 6, 8, 10, 7, 2, 5, 164
3, 6, 5, 8, 9, 8, 7, 6, 5, 12
3, 5, 3, 8, 6, 7, 1, 9, 7, -110
1, 5, 4, 3, 6, 10, 7, 7, 9, 115
6, 6, 6, 6, 9, 5, 5, 10, 4, 12
10, 8, 1, 4, 6, 4, 9, 3, 6, 294
9, 10, 8, 2, 6, 3, 2, 6, 7, 136
10, 6, 8, 8, 6, 5, 8, 2, 10, 4
5, 1, 4, 3, 2, 3, 6, 3, 7, 10
1, 5, 6, 1, 10, 1, 2, 8, 3, -55
5, 1, 2, 1, 4, 1, 10, 9, 6, 17
9, 5, 4, 4, 9, 6, 5, 5, 9, 329
5, 8, 6, 1, 7, 6, 2, 1, 2, 42
9, 6, 8, 2, 8, 9, 1, 1, 3, 105
6, 6, 9, 4, 1, 7, 4, 4, 3, 54
6, 4, 1, 10, 6, 8, 2, 6, 5, -196
3, 5, 7, 9, 3, 5, 6, 4, 4, 72
7, 1, 10, 2, 6, 2, 3, 6, 3, -18
5, 9, 4, 3, 9, 10, 1, 3, 10, 120
5, 7, 4, 8, 8, 4, 4, 2, 1, -8
10, 1, 2, 1, 1, 4, 10, 3, 7, -31
1, 2, 7, 5, 3, 10, 2, 8, 9, 135
10, 4, 2, 1, 10, 5, 1, 2, 2, 96
4, 6, 2, 8, 1, 5, 1, 1, 3, -108
10, 3, 9, 10, 7, 10, 8, 5, 4, -154
6, 4, 5, 9, 4, 4, 8, 2, 3, -26
2, 5, 7, 5, 4, 4, 2, 7, 7, 54
2, 5, 6, 3, 2, 3, 4, 6, 9, -15
3, 7, 1, 6, 1, 5, 4, 3, 10, -281
4, 2, 1, 6, 1, 8, 2, 7, 9, -224
10, 9, 5, 8, 1, 4, 1, 1, 4, -217
1, 5, 5, 1, 7, 5, 2, 1, 1, -18
8, 5, 2, 1, 7, 7, 6, 9, 5, -105
3, 6, 1, 9, 4, 10, 7, 1, 4, 203
1, 7, 5, 7, 6, 7, 5, 7, 8, -53
10, 2, 7, 2, 6, 3, 9, 6, 6, -84
2, 5, 10, 1, 7, 8, 6, 7, 8, -150
5, 10, 4, 9, 2, 4, 8, 4, 9, -400
6, 10, 9, 8, 10, 3, 7, 7, 1, -62
6, 6, 6, 4, 10, 4, 4, 9, 3, -36
8, 6, 3, 9, 5, 4, 5, 2, 4, -21
1, 10, 8, 4, 7, 8, 8, 4, 7, 57
6, 7, 6, 5, 7, 10, 3, 6, 7, -47
4, 10, 2, 5, 8, 3, 9, 4, 4, 46
9, 2, 8, 3, 8, 7, 3, 3, 2, -135
6, 8, 10, 4, 7, 7, 9, 6, 5, -88
8, 7, 4, 8, 1, 3, 6, 8, 3, 22
5, 5, 1, 1, 2, 8, 1, 7, 8, -195
2, 9, 6, 8, 5, 6, 7, 10, 10, -92
4, 8, 8, 9, 10, 2, 6, 10, 3, 160
6, 2, 7, 2, 2, 4, 2, 6, 2, -56
6, 6, 8, 8, 8, 5, 9, 7, 7, -68
7, 10, 7, 5, 9, 6, 6, 1, 10, 105
2, 5, 6, 6, 7, 9, 6, 10, 10, 38
9, 5, 5, 10, 8, 5, 7, 9, 4, 28
7, 9, 6, 6, 9, 3, 10, 9, 10, -45
9, 4, 8, 9, 4, 5, 7, 10, 9, 186
3, 3, 2, 5, 8, 4, 5, 5, 1, -21
1, 4, 1, 2, 5, 4, 2, 4, 1, 11
2, 8, 1, 1, 6, 4, 7, 7, 10, 173
1, 1, 9, 7, 9, 1, 6, 7, 3, -40
10, 5, 10, 10, 10, 3, 4, 6, 5, 330
3, 7, 5, 2, 3, 3, 5, 10, 1, 35
6, 7, 1, 2, 7, 4, 6, 6, 2, 50
10, 5, 8, 9, 1, 6, 4, 3, 8, -156
7, 3, 8, 10, 10, 8, 6, 5, 1, -176
2, 9, 6, 1, 4, 3, 10, 9, 7, 23
1, 8, 6, 10, 9, 7, 9, 10, 3, 335
7, 8, 7, 1, 2, 5, 5, 1, 7, 144
10, 7, 1, 3, 3, 8, 3, 7, 7, -317
8, 6, 7, 7, 2, 3, 1, 1, 1, 3
7, 1, 10, 4, 3, 8, 7, 6, 9, -97
5, 6, 9, 1, 5, 8, 7, 5, 4, -58
5, 3, 4, 7, 8, 2, 9, 6, 1, -107
10, 6, 3, 10, 9, 3, 1, 6, 10, 291
7, 3, 1, 1, 10, 4, 3, 2, 1, 19
9, 10, 4, 2, 6, 9, 1, 2, 1, -46
7, 2, 5, 2, 1, 5, 9, 10, 3, -196
3, 4, 1, 6, 10, 4, 6, 5, 3, 24
3, 10, 4, 9, 6, 4, 5, 10, 5, -40
3, 10, 9, 4, 7, 6, 6, 5, 4, -4
9, 9, 9, 6, 5, 8, 5, 9, 10, -117
3, 9, 4, 5, 9, 9, 5, 6, 2, 147
9, 7, 1, 1, 8, 6, 10, 10, 4, 70
10, 2, 5, 6, 2, 7, 3, 4, 1, -140
9, 10, 9, 9, 3, 6, 2, 3, 4, -105
7, 7, 5, 5, 7, 3, 8, 6, 6, -4
8, 6, 4, 7, 2, 1, 10, 5, 3, 2
4, 9, 5, 3, 9, 4, 3, 9, 6, 18
7, 5, 3, 8, 4, 3, 3, 9, 4, -12
4, 7, 1, 6, 4, 10, 1, 3, 4, -140
7, 2, 3, 6, 9, 4, 10, 4, 8, 178
2, 5, 7, 8, 1, 2, 10, 3, 10, -194
2, 2, 8, 8, 5, 1, 6, 3, 1, -48
7, 1, 4, 2, 3, 10, 4, 6, 9, -209
3, 5, 4, 10, 9, 10, 4, 7, 10, -104
1, 1, 9, 8, 9, 8, 2, 5, 4, 178
9, 7, 5, 3, 8, 9, 10, 10, 6, -124
3, 10, 6, 3, 2, 5, 7, 4, 1, 254
5, 1, 8, 3, 10, 7, 3, 7, 7, 33
2, 7, 1, 9, 8, 4, 3, 5, 4, -123
3, 6, 4, 1, 3, 6, 8, 10, 9, 79
7, 10, 8, 7, 10, 3, 1, 2, 9, 20
2, 1, 10, 7, 7, 5, 1, 8, 5, 450
7, 8, 9, 2, 6, 5, 3, 10, 10, 48
8, 8, 8, 1, 6, 1, 4, 7, 7, 120
1, 1, 6, 10, 6, 4, 7, 3, 6, -80
1, 1, 7, 9, 8, 3, 1, 3, 5, 122
1, 3, 6, 4, 1, 8, 6, 10, 3, 235
1, 10, 2, 3, 6, 2, 5, 3, 9, -164
1, 1, 5, 6, 1, 6, 1, 1, 2, 15
7, 3, 3, 8, 5, 1, 9, 1, 9, 8
7, 9, 4, 9, 1, 2, 7, 2, 2, -6
9, 6, 2, 5, 3, 2, 2, 5, 7, -49
7, 7, 5, 5, 6, 8, 6, 3, 4, 91
3, 4, 5, 5, 9, 3, 8, 7, 9, -89
10, 2, 2, 1, 10, 9, 10, 2, 7, 490
2, 9, 3, 6, 8, 9, 3, 6, 3, 57
3, 8, 8, 6, 3, 6, 10, 7, 2, 372
10, 7, 7, 3, 5, 4, 8, 1, 10, 215
10, 10, 5, 4, 5, 6, 1, 7, 3, -215
9, 8, 9, 3, 3, 8, 8, 10, 8, -130
6, 5, 5, 9, 1, 9, 6, 4, 2, 126
2, 4, 4, 9, 3, 2, 7, 8, 4, 108
9, 7, 8, 8, 10, 10, 7, 7, 4, -116
5, 3, 5, 3, 8, 3, 3, 3, 9, 186
10, 1, 1, 8, 3, 8, 8, 3, 8, 0
5, 10, 4, 6, 10, 6, 10, 10, 1, 130
7, 3, 4, 2, 2, 7, 8, 8, 9, -152
2, 10, 10, 8, 9, 3, 2, 8, 9, -86
2, 3, 3, 3, 7, 4, 6, 9, 8, -5
7, 7, 7, 5, 6, 6, 10, 1, 8, 49
2, 2, 2, 4, 8, 6, 6, 9, 5, -20
6, 1, 6, 1, 6, 4, 6, 2, 1, -193
4, 9, 7, 2, 9, 10, 2, 5, 4, -4
6, 8, 8, 1, 1, 2, 2, 5, 8, -20
9, 8, 6, 3, 7, 4, 10, 6, 4, -52
3, 5, 7, 8, 5, 9, 8, 2, 3, 63
10, 1, 6, 7, 10, 10, 5, 7, 4, -284
8, 2, 3, 3, 5, 5, 4, 2, 7, 156
5, 7, 1, 2, 9, 5, 5, 9, 9, 202
6, 5, 8, 1, 4, 5, 4, 8, 5, -109
3, 6, 3, 2, 2, 6, 9, 7, 9, 132
10, 1, 8, 8, 2, 7, 9, 2, 9, 15
6, 6, 7, 1, 7, 5, 8, 6, 2, -218
2, 10, 2, 8, 5, 5, 3, 7, 8, -398
10, 9, 8, 10, 3, 5, 5, 9, 8, -105
1, 7, 8, 1, 6, 9, 4, 3, 3, 54
4, 7, 2, 6, 1, 7, 5, 5, 7, -111
9, 6, 9, 10, 7, 8, 2, 8, 2, 120
9, 3, 2, 5, 4, 3, 2, 4, 7, 81
2, 2, 1, 9, 7, 4, 7, 10, 10, -23
5, 8, 5, 2, 4, 1, 9, 9, 4, -47
9, 9, 1, 10, 1, 6, 3, 1, 5, -290
3, 9, 1, 5, 2, 2, 9, 3, 2, 63
7, 7, 1, 8, 7, 2, 6, 7, 2, -14
7, 6, 8, 3, 8, 3, 7, 4, 2, -234
7, 9, 8, 2, 4, 8, 6, 5, 4, 80
