A1, A2, A3, B1, B2, B3, C1, C2, C3, Norm
1, 8, 9, 7, 4, 8, 8, 5, 1, 108.361
4, 2, 2, 5, 7, 1, 1, 1, 2, 108.844
7, 9, 2, 2, 10, 8, 2, 5, 5, 110.467
1, 9, 8, 4, 4, 7, 8, 4, 1, 111.853
1, 4, 1, 4, 9, 7, 4, 7, 8, 113.155
1, 1, 8, 3, 2, 6, 5, 5, 2, 113.899
1, 2, 9, 3, 7, 3, 1, 8, 2, 114.869
9, 1, 6, 10, 5, 7, 2, 2, 3, 116.207
1, 1, 3, 8, 5, 1, 9, 10, 6, 117.567
1, 1, 3, 8, 2, 10, 1, 2, 3, 118.385
8, 6, 3, 5, 9, 4, 6, 2, 5, 119.629
1, 5, 6, 10, 3, 2, 6, 6, 10, 121.07
10, 6, 4, 3, 8, 3, 8, 3, 8, 122.593
2, 2, 6, 10, 1, 2, 9, 4, 4, 123.657
5, 6, 7, 2, 7, 2, 9, 10, 5, 125.156
3, 4, 2, 8, 6, 5, 4, 9, 8, 126.408
4, 4, 3, 2, 2, 6, 9, 1, 4, 127.13
1, 2, 2, 9, 5, 3, 4, 8, 9, 128.246
1, 3, 8, 8, 7, 6, 8, 3, 9, 129.707
8, 3, 6, 6, 10, 5, 10, 5, 10, 131.602
10, 8, 9, 5, 10, 5, 6, 6, 5, 133.458
5, 5, 3, 2, 4, 5, 9, 9, 4, 134.51
5, 1, 5, 9, 5, 5, 1, 10, 7, 135.739
6, 5, 9, 6, 8, 4, 6, 9, 2, 137.128
5, 2, 4, 4, 10, 4, 1, 5, 1, 137.87
5, 5, 7, 6, 2, 5, 2, 7, 4, 138.712
4, 9, 2, 10, 1, 1, 9, 1, 3, 139.768
10, 6, 6, 1, 5, 10, 2, 7, 7, 141.191
9, 3, 8, 7, 8, 3, 10, 9, 2, 142.815
9, 3, 7, 3, 7, 1, 7, 2, 10, 144.038
8, 4, 5, 9, 10, 3, 1, 1, 6, 145.19
9, 5, 9, 5, 8, 2, 4, 3, 8, 146.455
6, 8, 10, 10, 9, 3, 4, 7, 1, 148.003
4, 7, 9, 1, 6, 2, 10, 8, 5, 149.268
7, 2, 3, 7, 8, 3, 10, 9, 8, 150.698
5, 3, 2, 6, 7, 5, 8, 10, 10, 152.059
6, 9, 7, 8, 4, 9, 3, 8, 10, 153.695
4, 2, 3, 7, 3, 3, 3, 4, 9, 154.35
5, 2, 2, 6, 9, 9, 8, 9, 3, 155.592
3, 2, 3, 2, 10, 8, 6, 9, 3, 156.605
7, 10, 2, 3, 6, 4, 10, 4, 2, 157.667
1, 10, 5, 7, 4, 2, 5, 2, 8, 158.578
7, 4, 2, 6, 4, 1, 6, 7, 2, 159.242
4, 9, 8, 7, 1, 6, 5, 7, 7, 160.4
4, 5, 1, 1, 2, 5, 2, 2, 7, 160.801
4, 1, 9, 5, 7, 7, 1, 1, 9, 161.744
9, 6, 10, 2, 1, 7, 2, 5, 6, 162.779
3, 6, 4, 7, 9, 4, 1, 7, 9, 163.814
4, 6, 8, 7, 10, 7, 7, 6, 8, 165.221
3, 8, 4, 5, 1, 3, 3, 2, 2, 165.647
9, 10, 6, 8, 1, 4, 8, 9, 9, 167.221
5, 8, 3, 4, 2, 6, 1, 3, 10, 168.009
3, 4, 10, 3, 1, 6, 5, 10, 5, 168.962
2, 1, 5, 6, 6, 6, 9, 9, 10, 170.141
3, 3, 8, 5, 8, 4, 8, 10, 5, 171.243
4, 3, 8, 9, 10, 4, 2, 8, 3, 172.299
6, 3, 9, 2, 8, 4, 1, 6, 7, 173.156
10, 9, 3, 6, 3, 7, 3, 4, 4, 174.092
10, 2, 4, 4, 10, 5, 9, 8, 6, 175.357
6, 6, 7, 10, 7, 2, 8, 5, 3, 176.414
6, 5, 3, 5, 10, 5, 6, 4, 2, 177.195
4, 7, 6, 3, 4, 9, 3, 2, 7, 177.952
9, 8, 7, 7, 4, 3, 2, 8, 4, 178.939
4, 2, 8, 4, 6, 6, 9, 6, 7, 179.881
7, 2, 9, 9, 5, 9, 9, 9, 5, 181.287
3, 4, 2, 8, 6, 1, 3, 6, 1, 181.772
9, 2, 10, 5, 2, 1, 2, 6, 2, 182.483
5, 7, 5, 4, 7, 3, 5, 7, 2, 183.169
7, 6, 5, 9, 10, 1, 7, 4, 4, 184.185
4, 9, 8, 2, 10, 10, 4, 1, 10, 185.489
1, 3, 5, 6, 9, 5, 7, 2, 7, 186.239
6, 3, 8, 5, 6, 1, 5, 10, 7, 187.163
8, 8, 8, 10, 4, 3, 4, 3, 10, 188.34
4, 8, 10, 8, 7, 5, 8, 6, 2, 189.457
5, 1, 10, 4, 6, 1, 3, 5, 3, 190.042
10, 6, 8, 1, 6, 10, 6, 2, 3, 191.055
1, 8, 6, 3, 3, 3, 1, 8, 6, 191.653
10, 10, 7, 5, 1, 1, 6, 5, 8, 192.697
3, 1, 8, 6, 3, 7, 1, 9, 4, 193.386
3, 6, 1, 9, 1, 6, 5, 9, 8, 194.247
3, 5, 1, 3, 1, 3, 1, 3, 5, 194.476
4, 2, 3, 4, 4, 10, 2, 3, 10, 195.179
7, 6, 6, 10, 3, 3, 3, 7, 5, 196.003
6, 4, 2, 7, 10, 6, 1, 3, 8, 196.804
1, 9, 5, 1, 3, 9, 4, 5, 1, 197.413
4, 10, 5, 10, 7, 3, 9, 4, 2, 198.424
8, 7, 2, 5, 7, 8, 9, 5, 8, 199.492
7, 10, 7, 5, 4, 5, 4, 8, 3, 200.375
5, 3, 3, 1, 6, 10, 6, 9, 5, 201.177
9, 3, 9, 2, 7, 10, 2, 10, 9, 202.438
2, 10, 9, 8, 7, 10, 7, 5, 3, 203.622
8, 4, 9, 8, 5, 3, 8, 3, 2, 204.446
8, 4, 10, 5, 7, 10, 3, 8, 2, 205.497
8, 1, 6, 1, 3, 4, 4, 9, 1, 206.044
8, 3, 1, 1, 8, 5, 4, 9, 9, 206.872
1, 10, 4, 4, 7, 5, 2, 6, 4, 207.507
5, 6, 8, 8, 9, 6, 5, 2, 7, 208.43
7, 5, 4, 2, 3, 5, 7, 10, 9, 209.287
2, 6, 2, 6, 3, 9, 3, 3, 7, 209.852
4, 2, 5, 10, 1, 4, 3, 7, 8, 210.528
5, 1, 3, 9, 1, 7, 1, 6, 6, 211.095
2, 2, 6, 2, 9, 9, 5, 9, 6, 211.927
4, 4, 1, 1, 3, 10, 6, 7, 2, 212.474
3, 9, 1, 1, 1, 9, 9, 8, 6, 213.307
10, 8, 6, 1, 10, 9, 10, 5, 3, 214.513
7, 8, 5, 7, 7, 2, 8, 7, 2, 215.344
8, 10, 2, 9, 9, 1, 10, 10, 8, 216.721
10, 2, 7, 2, 10, 9, 3, 1, 5, 217.58
9, 3, 9, 5, 5, 8, 4, 10, 5, 218.557
9, 3, 2, 7, 7, 10, 1, 8, 4, 219.408
4, 2, 7, 10, 7, 8, 8, 8, 3, 220.361
8, 2, 4, 7, 9, 6, 4, 9, 5, 221.204
8, 9, 6, 8, 10, 1, 9, 9, 5, 222.405
10, 6, 6, 2, 6, 3, 6, 9, 6, 223.244
4, 5, 7, 4, 9, 9, 4, 8, 6, 224.103
7, 1, 10, 4, 10, 4, 10, 1, 2, 224.964
4, 3, 6, 10, 4, 6, 4, 8, 10, 225.836
9, 2, 8, 7, 10, 3, 3, 10, 4, 226.791
8, 7, 10, 1, 6, 4, 6, 7, 4, 227.598
9, 4, 4, 10, 1, 1, 3, 5, 6, 228.224
7, 6, 2, 2, 2, 8, 4, 5, 9, 228.843
4, 9, 3, 10, 2, 10, 3, 10, 1, 229.759
8, 5, 4, 1, 4, 5, 9, 9, 8, 230.569
1, 2, 3, 3, 2, 2, 2, 9, 6, 230.898
10, 2, 9, 10, 2, 8, 10, 9, 2, 232.06
8, 7, 4, 6, 4, 4, 5, 4, 7, 232.678
9, 4, 6, 9, 6, 10, 2, 1, 6, 233.517
9, 6, 2, 4, 3, 5, 3, 9, 8, 234.211
7, 8, 2, 4, 7, 8, 7, 1, 7, 234.947
8, 8, 3, 5, 2, 4, 9, 7, 2, 235.618
1, 1, 10, 3, 6, 3, 2, 3, 9, 236.148
2, 10, 10, 3, 10, 8, 2, 3, 3, 236.992
5, 10, 2, 5, 8, 9, 9, 4, 7, 237.929
6, 7, 1, 8, 2, 7, 8, 5, 3, 238.56
10, 9, 2, 10, 9, 10, 10, 5, 7, 239.898
1, 2, 4, 6, 1, 2, 2, 2, 5, 240.096
2, 7, 1, 7, 1, 10, 6, 3, 8, 240.747
2, 10, 4, 1, 9, 6, 3, 8, 5, 241.444
7, 6, 7, 2, 9, 1, 6, 7, 4, 242.107
3, 7, 2, 6, 6, 9, 3, 3, 4, 242.621
2, 8, 6, 4, 6, 6, 2, 1, 6, 243.101
5, 6, 8, 7, 1, 10, 9, 1, 1, 243.836
4, 9, 6, 9, 1, 7, 9, 3, 5, 244.612
2, 1, 9, 3, 8, 10, 2, 9, 5, 245.365
6, 9, 10, 9, 9, 5, 10, 10, 3, 246.611
10, 4, 10, 9, 4, 3, 5, 4, 3, 247.364
9, 10, 9, 7, 5, 10, 6, 8, 1, 248.447
4, 9, 8, 7, 5, 5, 2, 1, 1, 248.982
3, 8, 3, 9, 2, 4, 4, 6, 8, 249.582
3, 4, 7, 9, 1, 2, 6, 7, 7, 250.17
4, 8, 4, 7, 4, 5, 10, 4, 3, 250.791
2, 4, 3, 1, 4, 10, 6, 2, 3, 251.179
4, 5, 6, 2, 9, 6, 3, 2, 2, 251.607
4, 1, 9, 9, 2, 7, 5, 3, 10, 252.333
10, 8, 6, 1, 3, 9, 3, 4, 4, 252.99
6, 1, 5, 5, 9, 8, 5, 8, 4, 253.655
5, 9, 10, 7, 8, 3, 5, 6, 1, 254.423
8, 4, 1, 9, 1, 9, 6, 7, 3, 255.086
6, 6, 7, 5, 10, 5, 3, 9, 10, 255.988
3, 9, 8, 5, 5, 10, 5, 5, 6, 256.749
10, 10, 2, 8, 1, 1, 1, 3, 2, 257.301
5, 10, 6, 2, 9, 2, 6, 5, 6, 257.975
2, 10, 4, 6, 3, 3, 5, 2, 7, 258.463
6, 8, 6, 5, 5, 8, 10, 4, 4, 259.201
1, 7, 7, 2, 8, 7, 3, 9, 2, 259.798
8, 1, 5, 5, 8, 4, 1, 5, 7, 260.317
5, 7, 8, 1, 6, 10, 6, 10, 1, 261.107
7, 6, 3, 1, 9, 8, 4, 8, 2, 261.727
3, 9, 10, 8, 6, 6, 2, 2, 4, 262.395
1, 6, 7, 9, 7, 4, 2, 6, 10, 263.103
6, 10, 3, 7, 3, 6, 7, 5, 1, 263.699
3, 9, 1, 8, 2, 5, 6, 8, 5, 264.284
8, 1, 5, 4, 5, 1, 1, 9, 6, 264.756
4, 8, 3, 10, 1, 10, 3, 5, 5, 265.415
1, 1, 10, 7, 7, 8, 7, 6, 10, 266.259
4, 8, 4, 1, 1, 6, 1, 10, 1, 266.702
8, 3, 4, 10, 3, 7, 5, 3, 4, 267.258
5, 9, 8, 1, 8, 6, 3, 3, 7, 267.89
8, 2, 10, 1, 10, 5, 3, 1, 6, 268.524
3, 9, 4, 10, 10, 3, 5, 7, 3, 269.264
4, 4, 9, 1, 10, 9, 1, 9, 4, 269.993
6, 10, 3, 3, 3, 6, 4, 1, 2, 270.4
9, 7, 3, 9, 9, 2, 8, 3, 2, 271.105
3, 9, 4, 6, 8, 2, 1, 7, 5, 271.63
5, 3, 6, 5, 4, 6, 1, 10, 1, 272.088
5, 3, 2, 4, 1, 9, 3, 2, 4, 272.391
8, 3, 8, 8, 3, 7, 1, 1, 2, 272.877
4, 8, 6, 8, 7, 3, 9, 1, 4, 273.492
3, 2, 4, 1, 9, 3, 10, 6, 4, 273.989
6, 8, 2, 9, 4, 6, 6, 5, 8, 274.649
1, 2, 8, 8, 3, 1, 10, 7, 5, 275.225
10, 5, 2, 10, 8, 10, 3, 9, 5, 276.147
10, 10, 1, 6, 4, 5, 5, 9, 9, 276.987
1, 7, 2, 4, 5, 6, 1, 6, 8, 277.406
1, 6, 3, 10, 6, 4, 2, 6, 7, 277.923
4, 2, 9, 8, 4, 5, 10, 6, 2, 278.544
2, 8, 8, 9, 8, 2, 2, 9, 5, 279.245
10, 6, 1, 8, 7, 6, 7, 3, 4, 279.889
7, 8, 10, 8, 7, 7, 4, 9, 4, 280.76
7, 2, 8, 10, 5, 9, 5, 8, 6, 281.556
1, 1, 3, 10, 5, 9, 9, 10, 3, 282.278
2, 5, 9, 3, 7, 3, 9, 8, 4, 282.876
8, 3, 1, 7, 10, 6, 3, 2, 5, 283.401
9, 9, 3, 7, 9, 8, 9, 6, 9, 284.392
3, 6, 10, 5, 5, 7, 3, 9, 8, 285.091
10, 2, 4, 7, 7, 4, 8, 7, 6, 285.762
8, 5, 9, 3, 4, 7, 5, 8, 9, 286.486
4, 2, 7, 10, 5, 1, 10, 1, 4, 287.03
5, 6, 10, 8, 1, 6, 2, 10, 10, 287.84
7, 10, 5, 4, 2, 2, 5, 7, 7, 288.397
3, 10, 10, 6, 3, 1, 10, 7, 5, 289.14
3, 10, 5, 8, 6, 1, 9, 4, 3, 289.729
2, 9, 6, 3, 3, 6, 4, 8, 9, 290.308
2, 8, 9, 4, 2, 2, 6, 2, 7, 290.759
3, 7, 6, 3, 1, 8, 4, 8, 1, 291.187
5, 6, 8, 3, 4, 9, 3, 8, 8, 291.818
8, 8, 4, 10, 5, 4, 8, 9, 5, 292.597
4, 10, 9, 10, 3, 1, 5, 5, 10, 293.377
3, 3, 8, 8, 7, 6, 6, 7, 4, 293.942
4, 10, 10, 2, 3, 4, 2, 5, 10, 294.578
2, 9, 5, 9, 8, 4, 9, 1, 5, 295.219
2, 5, 10, 6, 1, 7, 6, 7, 7, 295.809
2, 4, 6, 4, 1, 10, 3, 4, 7, 296.226
7, 6, 10, 4, 9, 3, 9, 4, 2, 296.887
5, 6, 5, 6, 3, 2, 10, 1, 1, 297.286
10, 5, 4, 5, 10, 8, 2, 5, 4, 297.916
6, 5, 6, 10, 10, 10, 5, 7, 1, 298.707
6, 9, 8, 3, 4, 5, 9, 1, 5, 299.272
3, 2, 7, 2, 2, 4, 6, 1, 5, 299.52
8, 9, 9, 9, 9, 4, 6, 2, 6, 300.32
5, 1, 7, 2, 4, 8, 2, 8, 4, 300.724
2, 7, 2, 9, 8, 2, 8, 4, 9, 301.334
8, 5, 6, 5, 4, 6, 3, 2, 3, 301.705
5, 6, 10, 6, 9, 6, 1, 10, 5, 302.433
10, 6, 1, 7, 4, 3, 1, 9, 7, 302.998
6, 8, 6, 3, 8, 8, 7, 6, 9, 303.722
8, 3, 5, 4, 2, 8, 8, 6, 7, 304.266
9, 7, 8, 10, 9, 7, 4, 7, 4, 305.095
9, 10, 4, 8, 6, 5, 5, 8, 1, 305.77
8, 5, 2, 8, 8, 4, 1, 2, 3, 306.18
5, 2, 10, 7, 9, 9, 1, 8, 1, 306.842
5, 7, 7, 8, 10, 5, 6, 5, 9, 307.581
9, 9, 4, 10, 10, 5, 6, 6, 6, 308.41
1, 3, 5, 9, 8, 4, 9, 10, 10, 309.183
2, 3, 8, 2, 9, 6, 6, 1, 3, 309.577
1, 9, 6, 8, 4, 8, 5, 4, 6, 310.124
8, 1, 7, 1, 7, 5, 3, 5, 2, 310.49
4, 7, 7, 10, 7, 9, 4, 8, 4, 311.198
10, 9, 5, 9, 3, 4, 7, 1, 2, 311.785
4, 7, 10, 2, 6, 8, 4, 8, 1, 312.346
9, 4, 7, 3, 1, 2, 9, 6, 8, 312.891
3, 9, 10, 2, 9, 8, 6, 6, 5, 313.587
2, 3, 7, 3, 6, 4, 3, 10, 5, 313.997
8, 10, 4, 6, 1, 7, 4, 5, 9, 314.614
1, 3, 3, 5, 6, 9, 3, 6, 4, 314.967
10, 5, 10, 5, 9, 6, 2, 6, 9, 315.74
10, 8, 6, 3, 5, 8, 6, 2, 6, 316.332
1, 3, 1, 6, 1, 10, 6, 1, 4, 316.65
10, 6, 5, 4, 7, 10, 2, 1, 6, 317.229
1, 10, 9, 1, 1, 3, 7, 2, 2, 317.622
2, 3, 7, 2, 8, 4, 5, 4, 7, 317.994
1, 6, 10, 10, 10, 8, 3, 1, 5, 318.679
5, 4, 10, 7, 7, 4, 9, 4, 2, 319.237
9, 7, 5, 1, 9, 5, 1, 4, 3, 319.687
7, 9, 6, 7, 2, 7, 8, 2, 1, 320.214
4, 6, 1, 7, 1, 8, 1, 2, 10, 320.638
3, 6, 8, 7, 5, 4, 9, 6, 10, 321.286
3, 1, 8, 2, 2, 2, 10, 2, 8, 321.682
4, 9, 2, 2, 4, 2, 4, 9, 9, 322.152
6, 9, 10, 4, 2, 1, 2, 7, 1, 322.605
2, 9, 6, 2, 1, 9, 2, 8, 1, 323.033
10, 5, 7, 7, 3, 7, 7, 1, 9, 323.67
6, 4, 8, 1, 5, 8, 2, 4, 6, 324.074
1, 8, 3, 3, 6, 9, 6, 10, 5, 324.631
2, 2, 3, 3, 3, 2, 7, 9, 2, 324.897
7, 8, 6, 1, 5, 2, 9, 1, 6, 325.354
5, 1, 4, 1, 9, 7, 10, 1, 5, 325.813
1, 5, 1, 8, 1, 10, 3, 3, 3, 326.149
4, 5, 1, 9, 9, 8, 6, 2, 2, 326.627
10, 4, 6, 8, 8, 7, 5, 9, 6, 327.347
2, 4, 5, 6, 7, 1, 3, 5, 2, 327.605
5, 8, 5, 8, 10, 6, 6, 3, 1, 328.154
6, 3, 9, 7, 5, 9, 5, 9, 10, 328.895
2, 7, 2, 1, 6, 7, 5, 2, 10, 329.308
2, 6, 1, 2, 7, 7, 6, 1, 4, 329.606
7, 4, 8, 2, 8, 2, 2, 2, 3, 329.936
8, 3, 2, 1, 3, 2, 2, 3, 9, 330.217
8, 9, 6, 7, 5, 6, 4, 9, 5, 330.841
10, 6, 6, 3, 4, 10, 10, 3, 1, 331.456
6, 10, 4, 10, 2, 5, 4, 3, 10, 332.068
7, 1, 3, 10, 5, 5, 9, 4, 2, 332.534
4, 2, 8, 6, 3, 3, 5, 3, 8, 332.889
2, 9, 2, 6, 4, 5, 10, 10, 3, 333.452
10, 3, 1, 10, 10, 9, 8, 9, 1, 334.256
5, 2, 6, 8, 10, 10, 10, 9, 8, 335.113
5, 7, 4, 7, 4, 2, 6, 10, 9, 335.674
7, 5, 4, 9, 4, 3, 5, 4, 10, 336.176
3, 8, 9, 6, 10, 2, 2, 6, 1, 336.673
5, 2, 1, 5, 1, 4, 7, 1, 2, 336.861
1, 6, 5, 3, 8, 5, 4, 2, 6, 337.181
8, 10, 2, 10, 6, 5, 5, 9, 5, 337.862
7, 6, 7, 3, 8, 2, 2, 10, 7, 338.401
10, 1, 5, 9, 6, 4, 3, 8, 4, 338.914
10, 7, 6, 10, 10, 1, 7, 8, 9, 339.769
1, 2, 8, 8, 2, 10, 5, 6, 8, 340.301
9, 5, 5, 9, 9, 3, 9, 2, 5, 340.906
4, 2, 9, 7, 9, 10, 2, 7, 4, 341.492
6, 6, 8, 9, 8, 8, 5, 7, 4, 342.129
5, 5, 2, 1, 6, 7, 10, 2, 3, 342.498
5, 8, 4, 3, 1, 7, 7, 5, 4, 342.869
4, 2, 6, 2, 2, 10, 1, 5, 3, 343.159
8, 1, 8, 2, 6, 10, 8, 8, 2, 343.743
8, 5, 2, 6, 9, 9, 2, 5, 2, 344.214
8, 9, 1, 4, 1, 7, 10, 3, 7, 344.751
5, 3, 1, 2, 10, 9, 10, 10, 5, 345.395
6, 6, 2, 3, 4, 4, 7, 7, 6, 345.759
8, 1, 10, 2, 2, 4, 2, 3, 7, 346.121
1, 3, 7, 7, 3, 8, 10, 5, 3, 346.576
5, 1, 8, 10, 6, 4, 3, 3, 1, 346.952
6, 7, 10, 9, 8, 2, 9, 4, 7, 347.643
3, 9, 2, 1, 4, 6, 10, 5, 4, 348.057
9, 10, 10, 3, 8, 8, 7, 6, 2, 348.785
7, 10, 9, 8, 2, 4, 7, 6, 5, 349.392
1, 3, 3, 10, 1, 6, 3, 8, 10, 349.863
9, 5, 4, 5, 6, 5, 9, 8, 4, 350.39
3, 7, 1, 4, 4, 5, 1, 9, 10, 350.815
10, 4, 5, 7, 10, 1, 8, 3, 10, 351.475
7, 4, 4, 9, 5, 10, 3, 4, 6, 351.97
7, 1, 7, 1, 8, 10, 2, 2, 1, 352.358
4, 7, 5, 4, 4, 7, 9, 6, 7, 352.836
6, 4, 10, 10, 10, 3, 1, 4, 5, 353.406
7, 3, 1, 6, 5, 9, 6, 1, 2, 353.748
6, 2, 8, 1, 10, 8, 1, 7, 10, 354.34
7, 5, 3, 4, 3, 5, 1, 9, 10, 354.784
9, 9, 10, 9, 8, 7, 2, 6, 9, 355.597
3, 4, 7, 2, 2, 9, 3, 1, 7, 355.909
3, 3, 3, 5, 2, 9, 1, 9, 4, 356.239
3, 7, 3, 8, 7, 6, 6, 9, 3, 356.718
2, 10, 5, 6, 10, 7, 2, 8, 9, 357.367
6, 1, 3, 5, 5, 4, 5, 4, 10, 357.721
6, 1, 2, 7, 4, 4, 8, 3, 8, 358.082
3, 7, 10, 9, 9, 4, 5, 6, 10, 358.776
2, 2, 7, 2, 4, 6, 7, 4, 2, 359.029
6, 10, 1, 6, 9, 9, 10, 9, 1, 359.749
5, 9, 9, 2, 1, 4, 4, 8, 9, 360.261
1, 10, 4, 5, 6, 1, 2, 5, 5, 360.584
3, 9, 2, 2, 4, 5, 9, 7, 5, 360.992
3, 10, 8, 2, 7, 10, 6, 3, 4, 361.527
4, 8, 4, 3, 7, 7, 2, 4, 1, 361.837
7, 5, 4, 9, 9, 6, 8, 4, 8, 362.433
2, 7, 3, 10, 2, 5, 1, 4, 6, 362.77
7, 3, 5, 4, 9, 4, 9, 3, 4, 363.186
10, 1, 1, 9, 5, 5, 8, 9, 8, 363.794
6, 5, 8, 8, 9, 3, 6, 6, 6, 364.325
1, 2, 1, 8, 9, 6, 7, 6, 10, 364.836
10, 3, 10, 7, 2, 1, 7, 1, 1, 365.266
10, 9, 8, 10, 10, 6, 7, 10, 7, 366.194
3, 4, 5, 7, 1, 8, 9, 3, 6, 366.59
1, 1, 1, 1, 9, 5, 2, 1, 3, 366.759
10, 10, 3, 1, 1, 6, 4, 5, 10, 367.287
4, 5, 5, 8, 9, 3, 1, 9, 2, 367.704
10, 6, 2, 2, 8, 3, 10, 1, 2, 368.141
8, 3, 10, 5, 7, 3, 8, 3, 5, 368.622
2, 7, 6, 9, 6, 7, 1, 6, 9, 369.127
2, 5, 2, 7, 10, 3, 1, 10, 8, 369.609
7, 7, 6, 6, 5, 2, 1, 7, 6, 369.995
9, 7, 2, 2, 5, 2, 2, 4, 1, 370.249
1, 7, 7, 7, 5, 5, 5, 2, 8, 370.641
2, 7, 6, 6, 9, 5, 1, 5, 3, 371
9, 9, 8, 3, 9, 10, 7, 4, 4, 371.669
4, 1, 10, 4, 4, 10, 9, 3, 8, 372.211
3, 9, 5, 3, 5, 1, 9, 1, 3, 372.535
6, 5, 1, 9, 6, 6, 9, 7, 3, 373.009
2, 5, 9, 1, 7, 2, 6, 5, 5, 373.344
8, 6, 1, 4, 5, 5, 7, 1, 7, 373.7
7, 3, 5, 8, 10, 10, 5, 2, 1, 374.204
1, 2, 4, 6, 8, 8, 8, 3, 8, 374.634
1, 8, 7, 6, 1, 7, 1, 10, 7, 375.101
2, 4, 6, 1, 7, 9, 8, 6, 2, 375.489
4, 5, 4, 3, 10, 9, 5, 5, 4, 375.906
7, 9, 9, 4, 9, 4, 2, 7, 8, 376.492
9, 10, 2, 7, 8, 8, 9, 4, 3, 377.113
1, 9, 10, 3, 3, 8, 10, 8, 2, 377.685
10, 9, 9, 4, 9, 10, 4, 6, 1, 378.362
4, 8, 10, 1, 3, 10, 3, 6, 10, 378.937
3, 2, 1, 7, 10, 6, 2, 9, 9, 379.418
6, 6, 4, 9, 7, 6, 6, 6, 1, 379.849
10, 9, 5, 9, 6, 2, 9, 5, 8, 380.502
8, 6, 6, 2, 2, 7, 4, 9, 8, 380.967
10, 2, 4, 7, 9, 9, 5, 3, 10, 381.577
2, 10, 7, 8, 9, 1, 10, 7, 5, 382.196
7, 2, 1, 3, 5, 8, 3, 4, 9, 382.534
6, 7, 4, 3, 4, 8, 9, 9, 3, 383.005
5, 8, 9, 2, 2, 10, 8, 4, 5, 383.505
2, 9, 5, 4, 7, 7, 4, 10, 8, 384.031
1, 3, 2, 1, 5, 6, 1, 5, 6, 384.211
7, 1, 6, 10, 10, 2, 10, 8, 10, 384.931
5, 9, 7, 7, 2, 9, 5, 10, 10, 385.598
1, 8, 5, 5, 5, 1, 8, 7, 9, 386.032
3, 4, 10, 1, 6, 2, 1, 3, 10, 386.39
5, 10, 5, 7, 7, 4, 5, 1, 3, 386.776
5, 7, 9, 1, 9, 1, 9, 2, 4, 387.214
9, 1, 6, 9, 3, 1, 3, 2, 8, 387.584
1, 4, 2, 2, 7, 8, 7, 1, 7, 387.889
9, 7, 9, 8, 1, 10, 7, 4, 8, 388.54
7, 6, 5, 4, 2, 9, 8, 7, 2, 388.961
7, 10, 4, 5, 4, 2, 1, 1, 2, 389.239
4, 8, 9, 5, 2, 5, 4, 10, 8, 389.746
9, 7, 5, 10, 7, 5, 6, 3, 5, 390.258
8, 8, 3, 1, 7, 6, 8, 8, 9, 390.811
2, 4, 8, 9, 6, 9, 1, 6, 7, 391.281
10, 2, 9, 10, 8, 6, 6, 1, 10, 391.948
2, 8, 5, 2, 3, 1, 5, 9, 7, 392.282
2, 6, 2, 2, 4, 3, 1, 8, 8, 392.539
