cR, cG, cB, pR, pG, pB, Distance
119, 41, 189, 184, 150, 186, 126.945
130, 65, 172, 163, 134, 54, 140.62
18, 233, 141, 212, 91, 228, 255.674
97, 82, 54, 146, 209, 206, 204.044
150, 49, 250, 136, 17, 12, 240.549
197, 78, 134, 149, 177, 55, 135.447
3, 180, 211, 148, 230, 95, 192.304
27, 36, 66, 107, 216, 135, 208.713
132, 161, 126, 245, 86, 21, 171.52
167, 48, 195, 179, 89, 183, 44.3734
156, 27, 135, 61, 27, 175, 103.078
218, 89, 199, 233, 177, 127, 114.687
151, 243, 102, 47, 90, 113, 185.327
211, 108, 86, 161, 20, 112, 104.499
48, 167, 143, 158, 12, 34, 219.103
50, 184, 244, 3, 252, 82, 181.871
126, 159, 191, 135, 169, 3, 188.481
36, 234, 9, 135, 239, 191, 207.244
36, 166, 132, 108, 27, 12, 197.244
170, 42, 141, 241, 144, 0, 187.952
184, 166, 14, 242, 225, 109, 125.976
44, 118, 246, 142, 232, 39, 255.83
115, 167, 52, 189, 130, 68, 84.2674
63, 61, 102, 175, 245, 109, 215.52
25, 10, 201, 139, 52, 154, 130.265
178, 62, 16, 102, 115, 205, 210.49
43, 1, 32, 143, 205, 164, 262.755
222, 163, 235, 127, 234, 224, 119.109
75, 81, 221, 15, 233, 55, 232.938
46, 88, 154, 193, 248, 251, 237.945
239, 75, 253, 65, 92, 139, 208.713
236, 177, 153, 102, 223, 134, 142.944
73, 8, 40, 97, 218, 51, 211.653
77, 60, 172, 215, 81, 159, 140.193
117, 228, 53, 22, 228, 92, 102.694
191, 226, 132, 172, 122, 239, 150.419
228, 60, 254, 6, 245, 69, 343.124
113, 68, 179, 227, 78, 203, 116.927
7, 107, 101, 183, 236, 254, 266.507
36, 84, 210, 94, 20, 142, 109.927
63, 1, 166, 168, 188, 100, 224.388
48, 49, 239, 162, 51, 52, 219.018
5, 69, 223, 176, 83, 92, 215.866
217, 71, 60, 206, 59, 58, 16.4012
85, 237, 221, 149, 199, 78, 161.211
211, 167, 245, 217, 54, 181, 130.004
95, 28, 40, 240, 198, 228, 292.009
18, 163, 146, 15, 48, 177, 119.143
112, 156, 80, 63, 63, 4, 129.715
214, 174, 45, 205, 4, 204, 232.942
29, 92, 120, 75, 77, 11, 119.256
246, 114, 53, 123, 104, 18, 128.273
178, 44, 35, 188, 99, 74, 68.1616
108, 49, 83, 202, 59, 26, 110.386
217, 182, 63, 249, 189, 197, 137.946
33, 96, 156, 47, 13, 97, 102.791
142, 191, 111, 69, 5, 42, 211.391
250, 128, 249, 159, 239, 229, 144.921
66, 159, 156, 23, 69, 15, 172.714
35, 64, 210, 140, 124, 5, 238.013
77, 254, 189, 185, 12, 112, 275.966
153, 208, 1, 31, 39, 151, 256.798
153, 208, 229, 35, 227, 103, 173.669
253, 135, 245, 182, 199, 75, 195.031
140, 147, 142, 25, 242, 45, 177.93
151, 184, 37, 160, 95, 63, 93.1558
53, 198, 37, 130, 238, 80, 96.8401
168, 209, 183, 22, 50, 226, 220.105
186, 172, 213, 11, 69, 54, 257.905
245, 180, 112, 125, 7, 13, 232.659
1, 66, 151, 252, 140, 210, 268.25
144, 90, 223, 218, 184, 94, 175.935
157, 125, 122, 89, 40, 164, 116.675
232, 164, 196, 149, 0, 215, 184.786
250, 200, 46, 60, 59, 245, 309.163
19, 132, 198, 114, 133, 184, 96.0312
204, 188, 215, 114, 209, 84, 160.318
90, 76, 85, 204, 35, 153, 138.928
180, 33, 15, 83, 75, 75, 121.544
5, 85, 220, 19, 123, 202, 44.317
51, 37, 60, 230, 10, 102, 185.833
104, 212, 43, 135, 188, 239, 199.882
212, 219, 19, 52, 95, 101, 218.403
45, 247, 34, 54, 176, 214, 193.706
149, 246, 108, 236, 178, 192, 138.741
227, 71, 162, 51, 9, 155, 186.732
149, 197, 72, 55, 242, 91, 105.934
199, 57, 176, 23, 236, 254, 262.871
3, 113, 32, 221, 60, 138, 248.131
210, 21, 234, 188, 190, 3, 287.064
70, 118, 111, 153, 206, 71, 127.409
2, 11, 47, 56, 46, 203, 168.751
104, 95, 129, 184, 45, 177, 105.849
236, 147, 137, 24, 130, 178, 216.596
200, 198, 125, 248, 148, 200, 102.122
130, 4, 94, 222, 38, 169, 123.471
0, 138, 176, 158, 160, 103, 175.434
32, 119, 215, 188, 113, 212, 156.144
18, 81, 28, 217, 57, 129, 224.45
221, 222, 143, 145, 185, 103, 93.5147
218, 64, 64, 86, 195, 159, 208.83
16, 95, 127, 35, 154, 189, 87.6698
175, 249, 41, 35, 133, 153, 213.542
32, 246, 41, 158, 130, 185, 223.759
91, 213, 184, 201, 89, 148, 169.623
143, 74, 3, 77, 129, 97, 127.346
61, 98, 53, 163, 149, 59, 114.197
73, 206, 38, 151, 78, 183, 208.55
187, 31, 20, 132, 56, 65, 75.3326
40, 27, 54, 59, 156, 219, 210.302
238, 118, 6, 137, 88, 22, 106.569
203, 141, 148, 207, 158, 94, 56.7539
136, 250, 67, 59, 203, 232, 188.051
153, 28, 193, 118, 215, 232, 194.204
8, 225, 22, 232, 19, 220, 363.065
16, 124, 21, 224, 39, 12, 224.878
33, 196, 169, 66, 143, 141, 68.4251
82, 118, 161, 135, 18, 106, 125.833
103, 149, 17, 56, 223, 197, 200.212
241, 136, 97, 39, 83, 6, 227.803
58, 224, 156, 20, 152, 122, 88.227
249, 187, 166, 126, 160, 232, 142.176
247, 69, 89, 213, 40, 11, 89.8944
61, 197, 193, 69, 190, 244, 52.0961
93, 52, 232, 206, 11, 187, 128.355
231, 95, 243, 110, 200, 11, 281.94
61, 235, 132, 127, 46, 109, 201.509
58, 231, 148, 158, 188, 97, 120.208
101, 173, 77, 178, 163, 161, 114.39
169, 57, 130, 237, 70, 33, 119.172
205, 68, 218, 218, 134, 174, 80.3803
29, 201, 205, 220, 208, 62, 238.703
2, 184, 254, 167, 46, 65, 286.339
130, 4, 159, 150, 201, 155, 198.053
211, 80, 217, 237, 152, 21, 210.419
146, 232, 112, 107, 52, 94, 185.054
58, 201, 34, 182, 15, 244, 306.712
230, 226, 107, 137, 116, 145, 148.973
141, 213, 179, 165, 32, 237, 191.575
57, 231, 26, 251, 86, 249, 329.226
229, 215, 85, 141, 189, 215, 159.123
254, 213, 89, 231, 96, 58, 123.203
205, 220, 205, 81, 175, 5, 239.585
37, 11, 120, 3, 88, 44, 113.406
46, 219, 38, 254, 64, 74, 261.887
41, 70, 178, 89, 22, 119, 89.9389
121, 48, 64, 38, 41, 47, 85.0118
93, 190, 205, 59, 141, 117, 106.306
22, 86, 152, 126, 185, 115, 148.277
119, 128, 18, 136, 23, 72, 119.29
13, 228, 89, 187, 70, 195, 257.829
93, 14, 111, 32, 0, 57, 82.662
243, 202, 163, 168, 216, 186, 79.6869
47, 52, 234, 164, 85, 83, 193.853
22, 204, 27, 139, 20, 27, 218.048
148, 45, 73, 114, 238, 63, 196.227
235, 62, 179, 186, 102, 77, 120.021
72, 246, 254, 224, 186, 98, 225.92
182, 1, 185, 120, 113, 22, 207.261
229, 240, 88, 183, 73, 52, 176.921
123, 189, 37, 21, 187, 155, 155.987
241, 188, 231, 242, 158, 227, 30.282
37, 95, 31, 69, 148, 152, 135.919
40, 82, 47, 183, 54, 40, 145.884
245, 213, 207, 191, 71, 219, 152.394
11, 99, 145, 149, 83, 104, 144.848
44, 8, 105, 25, 131, 6, 159.031
168, 241, 117, 255, 142, 14, 167.269
251, 26, 119, 226, 11, 132, 31.9218
171, 44, 188, 8, 155, 38, 247.77
170, 225, 104, 0, 156, 204, 208.952
165, 142, 100, 97, 94, 62, 91.4986
7, 162, 89, 76, 30, 213, 193.807
155, 57, 124, 143, 46, 121, 16.5529
17, 18, 34, 108, 14, 216, 203.521
210, 143, 74, 112, 105, 244, 199.87
229, 137, 164, 239, 43, 77, 128.472
217, 19, 187, 240, 56, 92, 104.513
232, 136, 81, 174, 95, 31, 86.862
214, 126, 10, 6, 162, 207, 288.737
53, 109, 251, 97, 240, 49, 244.747
20, 37, 180, 245, 214, 243, 293.126
73, 116, 224, 127, 230, 21, 239
205, 138, 155, 193, 181, 85, 83.0241
236, 241, 246, 91, 191, 11, 280.624
52, 63, 120, 238, 158, 4, 238.908
98, 203, 115, 124, 81, 56, 137.989
197, 3, 133, 127, 126, 109, 143.544
210, 60, 160, 60, 254, 39, 273.454
209, 22, 107, 46, 22, 119, 163.441
245, 199, 223, 164, 30, 132, 208.334
68, 224, 105, 231, 142, 225, 218.387
3, 121, 249, 133, 168, 22, 265.778
184, 194, 197, 139, 58, 219, 144.931
218, 99, 172, 218, 35, 253, 103.233
191, 58, 119, 226, 171, 228, 160.857
112, 86, 116, 93, 204, 45, 139.018
107, 61, 19, 224, 249, 227, 303.804
122, 224, 152, 103, 8, 42, 243.14
34, 208, 247, 28, 78, 135, 171.697
93, 135, 119, 12, 12, 5, 186.242
160, 232, 182, 141, 182, 227, 69.8999
85, 68, 20, 118, 201, 150, 188.886
77, 131, 195, 134, 37, 68, 167.97
227, 66, 224, 130, 29, 251, 107.271
192, 7, 97, 243, 201, 85, 200.95
123, 216, 199, 152, 56, 80, 201.499
146, 218, 202, 213, 145, 118, 129.9
109, 195, 125, 207, 75, 175, 162.8
103, 65, 157, 251, 253, 88, 249.016
20, 167, 9, 64, 119, 106, 116.829
58, 125, 141, 2, 39, 220, 129.511
61, 200, 145, 170, 244, 135, 117.97
232, 35, 71, 142, 17, 45, 95.3939
218, 4, 103, 71, 128, 124, 193.458
0, 188, 163, 201, 49, 28, 279.19
231, 20, 84, 236, 10, 44, 41.5331
200, 157, 15, 28, 58, 187, 262.619
155, 3, 35, 103, 159, 32, 164.466
146, 7, 55, 45, 44, 60, 107.68
210, 238, 113, 21, 148, 9, 233.746
65, 130, 248, 24, 158, 11, 242.145
186, 253, 179, 193, 244, 117, 63.0397
21, 117, 135, 241, 74, 41, 243.074
188, 161, 136, 196, 43, 209, 138.986
190, 10, 220, 120, 217, 202, 219.256
173, 14, 64, 89, 243, 159, 261.767
160, 64, 100, 30, 239, 50, 223.663
53, 251, 171, 65, 127, 247, 145.931
99, 81, 231, 56, 121, 204, 64.6375
126, 152, 38, 151, 230, 67, 86.8907
190, 69, 183, 129, 54, 139, 76.6942
32, 208, 227, 244, 210, 54, 273.637
132, 214, 25, 213, 131, 133, 158.474
76, 192, 120, 198, 104, 13, 184.6
239, 135, 248, 44, 107, 205, 201.638
56, 119, 171, 237, 121, 9, 242.918
43, 255, 199, 212, 238, 144, 178.536
202, 238, 123, 151, 234, 44, 94.1169
38, 170, 182, 242, 144, 114, 216.601
135, 73, 113, 93, 96, 50, 79.1328
149, 146, 25, 59, 37, 42, 142.373
189, 79, 40, 157, 48, 210, 175.741
73, 122, 21, 238, 219, 92, 204.145
238, 39, 26, 25, 133, 54, 234.497
180, 60, 140, 20, 136, 182, 182.044
128, 85, 173, 208, 211, 183, 149.586
182, 100, 73, 251, 52, 77, 84.1487
163, 243, 125, 28, 123, 221, 204.551
172, 12, 111, 239, 233, 57, 237.162
129, 51, 235, 12, 190, 149, 201.012
186, 250, 30, 59, 186, 110, 163.172
172, 20, 229, 3, 230, 180, 273.974
88, 247, 103, 95, 17, 221, 258.598
195, 99, 247, 145, 179, 171, 121.145
26, 113, 114, 146, 61, 202, 157.632
102, 245, 146, 145, 3, 140, 245.864
196, 84, 237, 122, 58, 111, 148.418
92, 34, 155, 131, 197, 61, 192.161
141, 36, 183, 41, 195, 210, 189.763
3, 132, 54, 43, 31, 250, 224.091
178, 94, 204, 91, 149, 227, 105.466
247, 241, 212, 106, 221, 16, 242.275
62, 17, 115, 238, 5, 217, 203.774
5, 181, 122, 91, 29, 215, 197.861
24, 183, 166, 162, 196, 206, 144.267
81, 20, 83, 177, 56, 240, 187.513
77, 88, 194, 17, 240, 152, 168.725
198, 255, 120, 79, 243, 192, 139.603
158, 226, 111, 241, 95, 233, 197.317
190, 21, 254, 40, 230, 44, 332.086
76, 194, 208, 136, 39, 169, 170.722
242, 220, 65, 89, 43, 150, 248.924
35, 198, 238, 110, 113, 146, 145.993
163, 63, 111, 132, 74, 22, 94.8841
196, 54, 98, 137, 126, 13, 126.056
9, 75, 87, 110, 100, 253, 195.913
54, 47, 65, 70, 249, 76, 202.931
251, 37, 114, 220, 158, 134, 126.499
175, 67, 76, 20, 127, 168, 189.971
224, 79, 49, 170, 208, 222, 222.454
159, 78, 88, 38, 108, 60, 127.769
213, 27, 137, 44, 111, 86, 195.494
254, 155, 250, 105, 231, 194, 176.389
30, 111, 188, 200, 182, 231, 189.182
214, 55, 119, 194, 47, 173, 58.1378
210, 186, 106, 212, 27, 230, 201.646
19, 147, 234, 139, 39, 134, 189.905
194, 54, 215, 172, 240, 7, 279.9
137, 96, 182, 80, 32, 139, 95.8853
169, 95, 125, 23, 88, 151, 148.462
69, 167, 46, 198, 229, 133, 167.493
154, 178, 212, 219, 108, 245, 101.064
24, 39, 131, 11, 12, 233, 106.311
165, 170, 96, 158, 174, 81, 17.0294
97, 242, 237, 36, 123, 50, 229.893
203, 247, 252, 0, 173, 169, 231.461
26, 74, 28, 179, 56, 125, 182.049
36, 0, 101, 245, 249, 0, 340.416
38, 185, 225, 248, 117, 101, 253.18
77, 156, 9, 103, 73, 223, 231
216, 110, 23, 10, 219, 32, 233.234
23, 11, 17, 12, 235, 16, 224.272
198, 223, 215, 85, 21, 218, 231.478
110, 58, 172, 131, 107, 153, 56.5951
207, 155, 221, 86, 160, 81, 185.111
135, 56, 157, 181, 134, 247, 127.671
106, 111, 52, 150, 209, 177, 164.818
77, 242, 7, 106, 80, 156, 222.005
48, 189, 40, 228, 38, 177, 271.974
12, 54, 118, 42, 164, 170, 125.316
172, 24, 109, 214, 209, 238, 229.412
94, 231, 49, 86, 204, 240, 193.065
98, 34, 139, 129, 129, 134, 100.055
86, 124, 191, 133, 112, 36, 162.413
28, 170, 140, 119, 115, 248, 151.559
235, 190, 183, 35, 196, 98, 217.396
124, 1, 232, 1, 185, 59, 280.916
166, 193, 204, 72, 236, 228, 106.118
190, 156, 176, 157, 201, 28, 158.171
142, 34, 23, 214, 179, 3, 163.123
205, 239, 249, 186, 72, 220, 170.561
83, 131, 166, 213, 108, 110, 143.405
137, 135, 139, 178, 23, 10, 175.687
186, 68, 70, 18, 39, 168, 196.644
86, 105, 202, 8, 159, 157, 105
72, 131, 140, 246, 24, 199, 212.617
232, 170, 228, 226, 88, 84, 165.819
50, 85, 41, 163, 67, 106, 131.598
76, 79, 59, 200, 159, 82, 149.349
131, 69, 111, 84, 108, 251, 152.742
58, 103, 21, 158, 185, 244, 257.785
142, 13, 29, 245, 61, 38, 113.991
154, 101, 129, 223, 34, 245, 150.685
150, 146, 115, 1, 185, 153, 158.638
83, 194, 140, 27, 26, 197, 186.035
187, 37, 114, 156, 224, 253, 235.055
91, 211, 164, 179, 114, 38, 181.739
39, 248, 114, 240, 163, 51, 227.145
251, 231, 76, 210, 146, 7, 116.906
122, 222, 234, 204, 9, 211, 229.395
97, 164, 0, 174, 206, 164, 185.981
114, 71, 122, 122, 162, 225, 137.674
108, 163, 106, 0, 234, 222, 173.669
222, 123, 60, 224, 44, 209, 168.659
179, 73, 199, 192, 234, 215, 162.315
196, 20, 76, 217, 132, 190, 161.186
214, 231, 147, 37, 30, 209, 274.907
208, 193, 149, 213, 206, 229, 81.2034
9, 21, 123, 220, 110, 72, 234.612
255, 56, 221, 175, 231, 103, 225.719
221, 74, 131, 135, 226, 77, 182.8
140, 123, 19, 206, 10, 63, 138.062
80, 192, 117, 120, 116, 36, 118.055
27, 80, 215, 126, 193, 128, 173.606
24, 134, 141, 174, 25, 33, 214.581
36, 250, 74, 143, 15, 212, 292.776
43, 230, 99, 16, 12, 191, 238.153
161, 60, 23, 47, 219, 49, 197.365
145, 249, 24, 232, 93, 1, 180.094
250, 143, 194, 4, 158, 220, 247.825
110, 135, 196, 162, 186, 13, 196.962
48, 162, 47, 141, 80, 163, 169.791
73, 35, 30, 197, 124, 6, 154.509
72, 18, 117, 186, 142, 86, 171.269
162, 135, 108, 48, 244, 41, 171.365
250, 106, 228, 201, 16, 134, 139.058
180, 44, 173, 153, 247, 43, 242.565
154, 93, 83, 99, 74, 129, 74.1755
134, 45, 5, 67, 167, 209, 246.96
70, 65, 174, 246, 97, 140, 182.088
55, 93, 104, 255, 131, 207, 228.151
80, 207, 192, 84, 80, 98, 158.054
138, 166, 138, 101, 177, 229, 98.8484
237, 25, 61, 140, 90, 237, 211.211
175, 164, 5, 82, 138, 56, 109.206
31, 203, 18, 8, 178, 67, 59.6238
84, 129, 204, 164, 102, 237, 90.6532
223, 165, 240, 232, 104, 228, 62.8172
235, 19, 207, 52, 169, 12, 306.617
142, 56, 22, 157, 150, 49, 98.9444
61, 51, 238, 20, 14, 146, 107.303
158, 224, 94, 200, 203, 46, 67.1491
47, 95, 35, 9, 50, 215, 189.391
124, 1, 138, 84, 183, 123, 186.947
211, 147, 235, 75, 99, 34, 247.388
192, 133, 207, 209, 24, 143, 127.538
177, 100, 245, 123, 169, 138, 138.297
151, 148, 162, 19, 228, 55, 187.811
87, 93, 13, 229, 21, 15, 159.223
111, 149, 194, 10, 183, 79, 156.786
30, 157, 74, 246, 73, 248, 289.807
